,book,author
0,The Adventures of Huckleberry Finn,Mark Twain
1,The Scarlet Letter,Nathaniel Hawthorne
2,Little Women,Louisa May Alcott
3,The Legend of Sleepy Hollow,Washington Irving
4,The Red Badge of Courage,Stephen Crane
5,The Awakening,Kate Chopin
6,Walden,Henry David Thoreau
7,The Adventures of Tom Sawyer,Mark Twain
8,Uncle Tom's Cabin,Harriet Beecher Stowe
9,The Turn of the Screw,Henry James
10,The House of Mirth,Edith Wharton
11,The Raven,Edgar Allan Poe
12,Leaves of Grass,Walt Whitman
13,McTeague,Frank Norris
14,The Country of the Pointed Firs,Sarah Orne Jewett
15,The House of the Seven Gables,Nathaniel Hawthorne
16,Pudd'nhead Wilson,Mark Twain
17,The Fall of the House of Usher and Other Tales,Edgar Allan Poe
18,Maggie: A Girl of the Streets,Stephen Crane
19,Washington Square,Henry James
20,"Moby-Dick or, the Whale",Herman Melville
21,Daisy Miller,Henry James
22,Life in the Iron Mills,Rebecca Harding Davis
23,A Connecticut Yankee in King Arthur's Court,Mark Twain
24,Benito Cereno,Herman Melville
25,The Awakening and Selected Stories,Kate Chopin
26,Tales of Mystery and Imagination,Edgar Allan Poe
27,Bartleby and Benito Cereno,Herman Melville
28,"Bartleby, the Scrivener: A Story of Wall Street",Herman Melville
29,The Age of Innocence,Edith Wharton
30,Civil Disobedience,Henry David Thoreau
31,"Poems by Emily Dickinson, Series Two",Emily Dickinson
32,The Story Prize: 15 Years of Great Short Fiction,Larry Dark
33,"Of One Blood: Or, the Hidden Self: The Givens Collection",Pauline Elizabeth Hopkins
34,Great Short Stories by American Women,Candace Ward
35,"The School Days of an Indian Girl, and an Indian Teacher Among Indians",Zitkála-Šá
36,Iola Leroy,Frances Ellen Watkins Harper
37,The Rise of Silas Lapham,William Dean Howells
38,Short Stories,Edith Wharton
39,"Ragged Dick (Ragged Dick, #1)",Horatio Alger Jr.
40,The King in Yellow,Robert W. Chambers
41,The Innocents Abroad,Mark Twain
42,Bodies from the Library: Lost Classic Stories by Masters of the Golden Age,Tony Medawar
43,As I Lay Dying,William Faulkner
44,"William Bartram, The Search for Nature's Design: Selected Art, Letters, and Unpublished Writings",William Bartram
45,Shadows at Dawn: A Borderlands Massacre and the Violence of History,Karl Jacoby
46,A Lost Lady,Willa Cather
47,The Glass Menagerie,Tennessee Williams
48,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks
49,A Streetcar Named Desire,Tennessee Williams
50,Bastard Out of Carolina,Dorothy Allison
51,The Hanging on Union Square,H.T. Tsiang
52,A Hazard of New Fortunes,William Dean Howells
53,Yonnondio: From the Thirties,Tillie Olsen
54,The Jungle,Upton Sinclair
55,Whose Names Are Unknown,Sanora Babb
56,The Marrow of Tradition,Charles W. Chesnutt
57,Jews Without Money,Michael Gold
58,Looking Backward: 2000-1887,Edward Bellamy
