,book,author,id
0,The Adventures of Huckleberry Finn,Mark Twain,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
1,The Scarlet Letter,Nathaniel Hawthorne,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter
2,Little Women,Louisa May Alcott,https://www.goodreads.com/book/show/1934.Little_Women
3,The Legend of Sleepy Hollow,Washington Irving,https://www.goodreads.com/book/show/93261.The_Legend_of_Sleepy_Hollow
4,The Red Badge of Courage,Stephen Crane,https://www.goodreads.com/book/show/35220.The_Red_Badge_of_Courage
5,The Awakening,Kate Chopin,https://www.goodreads.com/book/show/58345.The_Awakening
6,Walden,Henry David Thoreau,https://www.goodreads.com/book/show/16902.Walden
7,The Adventures of Tom Sawyer,Mark Twain,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
8,Uncle Tom's Cabin,Harriet Beecher Stowe,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin
9,The Turn of the Screw,Henry James,https://www.goodreads.com/book/show/12948.The_Turn_of_the_Screw
10,The House of Mirth,Edith Wharton,https://www.goodreads.com/book/show/17728.The_House_of_Mirth
11,The Raven,Edgar Allan Poe,https://www.goodreads.com/book/show/264158.The_Raven
12,Leaves of Grass,Walt Whitman,https://www.goodreads.com/book/show/27494.Leaves_of_Grass
13,McTeague,Frank Norris,https://www.goodreads.com/book/show/168655.McTeague
14,The Country of the Pointed Firs,Sarah Orne Jewett,https://www.goodreads.com/book/show/2347137.The_Country_of_the_Pointed_Firs
15,The House of the Seven Gables,Nathaniel Hawthorne,https://www.goodreads.com/book/show/90192.The_House_of_the_Seven_Gables
16,Pudd'nhead Wilson,Mark Twain,https://www.goodreads.com/book/show/682793.Pudd_nhead_Wilson
17,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,https://www.goodreads.com/book/show/32559.The_Fall_of_the_House_of_Usher_and_Other_Tales
18,Maggie: A Girl of the Streets,Stephen Crane,https://www.goodreads.com/book/show/208977.Maggie
19,Washington Square,Henry James,https://www.goodreads.com/book/show/133954.Washington_Square
20,"Moby-Dick or, the Whale",Herman Melville,https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale
21,Daisy Miller,Henry James,https://www.goodreads.com/book/show/16204.Daisy_Miller
22,Life in the Iron Mills,Rebecca Harding Davis,https://www.goodreads.com/book/show/557983.Life_in_the_Iron_Mills
23,A Connecticut Yankee in King Arthur's Court,Mark Twain,https://www.goodreads.com/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court
24,Benito Cereno,Herman Melville,https://www.goodreads.com/book/show/178629.Benito_Cereno
25,The Awakening and Selected Stories,Kate Chopin,https://www.goodreads.com/book/show/58343.The_Awakening_and_Selected_Stories
26,Tales of Mystery and Imagination,Edgar Allan Poe,https://www.goodreads.com/book/show/156152.Tales_of_Mystery_and_Imagination
