,book_id_title,book_id,book_title,year_first_published,authorlink,author,genres,num_ratings,num_reviews,average_rating,flag
0,5797.Vanity_Fair,5797,Vanity Fair,1847.0,https://www.goodreads.com/author/show/3953.William_Makepeace_Thackeray,William Makepeace Thackeray,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Romance', 'British Literature', '...more']","124,679","4,151",3.8,True
1,882993.Cousin_Phyllis,882993,Cousin Phyllis,1864.0,https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell,Elizabeth Gaskell,"['Classics', 'Fiction', 'Victorian', 'Historical Fiction', '19th Century', 'British Literature', 'Audiobook', '...more']","2,298",302,3.48,True
3,3087.A_Room_with_a_View,3087,A Room with a View,1908.0,https://www.goodreads.com/author/show/86404.E_M_Forster,E.M. Forster,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Italy', 'Literature', 'British Literature', '...more']","173,001","7,558",3.9,True
5,156538.North_and_South,156538,North and South,1854.0,https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell,Elizabeth Gaskell,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Historical', '19th Century', 'Victorian', '...more']","161,220","9,199",4.15,True
8,3030579-the-dove-in-the-eagle-s-nest,3030579,The Dove in the Eagle's Nest,1866.0,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,"['Historical Fiction', 'Classics', 'Fiction']",49,12,3.73,True
10,149785.The_Way_We_Live_Now,149785,The Way We Live Now,1875.0,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', '19th Century', 'Victorian', 'Literature', 'British Literature', 'Novels', '...more']","12,532","1,076",4.07,True
12,73954.The_Eustace_Diamonds,73954,The Eustace Diamonds,1873.0,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', 'Victorian', '19th Century', 'Literature', 'British Literature', 'Historical Fiction', '...more']","4,543",427,3.95,True
13,3685.Black_Beauty,3685,Black Beauty,1877.0,https://www.goodreads.com/author/show/2530.Anna_Sewell,Anna Sewell,"['Classics', 'Fiction', 'Childrens', 'Animals', 'Young Adult', 'Horses', 'Historical Fiction', '...more']","266,044","6,180",3.98,True
14,1450322.The_Dolliver_Romance_and_Other_Pieces,1450322,The Dolliver Romance and Other Pieces: Tales and Sketches,1876.0,https://www.goodreads.com/author/show/7799.Nathaniel_Hawthorne,Nathaniel Hawthorne,[],4,0,3.5,True
15,253878.Mademoiselle_de_Maupin,253878,Mademoiselle de Maupin,1835.0,https://www.goodreads.com/author/show/103384.Th_ophile_Gautier,Théophile Gautier,"['Classics', 'Fiction', 'France', 'French Literature', '19th Century', 'LGBT', 'Queer', '...more']","1,159",96,3.91,True
17,31175.The_Professor,31175,The Professor,1857.0,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,Charlotte Brontë,"['Classics', 'Fiction', 'Romance', '19th Century', 'Victorian', 'Historical Fiction', 'Literature', '...more']","23,619","1,647",3.56,True
18,341281.The_Woodlanders,341281,The Woodlanders,1887.0,https://www.goodreads.com/author/show/15905.Thomas_Hardy,Thomas Hardy,"['Classics', 'Fiction', '19th Century', 'Victorian', 'Literature', 'Romance', 'British Literature', '...more']","15,745",740,3.88,True
19,24280.Les_Mis_rables,24280,Les Misérables,1862.0,https://www.goodreads.com/author/show/13661.Victor_Hugo,Victor Hugo,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', '...more']","761,941","20,895",4.19,True
20,782188.Misericordia,782188,Misericordia,1897.0,https://www.goodreads.com/author/show/25574.Benito_P_rez_Gald_s,Benito Pérez Galdós,"['Classics', 'Fiction', 'Spanish Literature', 'Spain', '19th Century', 'Literature', 'Novels', '...more']","1,860",149,3.82,True
21,5025830-the-fifth-form-at-st-dominic-s,5025830,The Fifth Form at St. Dominic's,1881.0,https://www.goodreads.com/author/show/1026231.Talbot_Baines_Reed,Talbot Baines Reed,"['School Stories', 'Childrens', 'Fiction', 'Young Adult', 'Historical Fiction']",67,13,3.9,True
23,6585894-the-story-of-a-new-york-house,6585894,The Story of a New York House,1887.0,https://www.goodreads.com/author/show/8265960.H_C_Bunner,H.C. Bunner,[],9,2,3.89,True
25,6328870-catherine,6328870,Catherine: A Story,1840.0,https://www.goodreads.com/author/show/3953.William_Makepeace_Thackeray,William Makepeace Thackeray,"['Classics', 'Fiction', 'Crime', '19th Century', 'Novels', 'British Literature']",104,17,3.22,True
27,153747.Moby_Dick_or_the_Whale,153747,"Moby-Dick or, the Whale",1851.0,https://www.goodreads.com/author/show/1624.Herman_Melville,Herman Melville,"['Classics', 'Fiction', 'Literature', 'Adventure', 'Historical Fiction', 'Novels', 'American', '...more']","530,832","20,060",3.53,True
28,6121115-the-brown-owl,6121115,The Brown Owl: A Fairy Tale,1891.0,https://www.goodreads.com/author/show/1209.Ford_Madox_Ford,Ford Madox Ford,"['Fiction', 'Fairy Tales', 'Fantasy']",21,3,3.29,True
