book_id_title,book_id,book_title,year_first_published,authorlink,author,genres,num_ratings,num_reviews,average_rating
5797.Vanity_Fair,5797,Vanity Fair,1847,https://www.goodreads.com/author/show/3953.William_Makepeace_Thackeray,William Makepeace Thackeray,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Romance', 'British Literature', '...more']","124,679","4,151",3.8
882993.Cousin_Phyllis,882993,Cousin Phyllis,1864,https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell,Elizabeth Gaskell,"['Classics', 'Fiction', 'Victorian', 'Historical Fiction', '19th Century', 'British Literature', 'Audiobook', '...more']","2,298",302,3.48
6036316-the-masque-of-the-red-death,6036316,The Masque of the Red Death,2008,https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe,Edgar Allan Poe,"['Classics', 'Short Stories', 'Horror', 'Fiction', 'Gothic', 'Mystery', 'American', '...more']",466,37,3.93
3087.A_Room_with_a_View,3087,A Room with a View,1908,https://www.goodreads.com/author/show/86404.E_M_Forster,E.M. Forster,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Italy', 'Literature', 'British Literature', '...more']","173,001","7,558",3.9
1509467.Die_Leute_von_Seldwyla,1509467,Die Leute von Seldwyla,1874,https://www.goodreads.com/author/show/169899.Gottfried_Keller,Gottfried Keller,"['Classics', 'German Literature', 'Fiction', 'Short Stories']",208,6,3.76
156538.North_and_South,156538,North and South,1854,https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell,Elizabeth Gaskell,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Historical', '19th Century', 'Victorian', '...more']","161,220","9,199",4.15
6463488-trials-and-confessions-of-a-housekeeper,6463488,Trials and Confessions of a Housekeeper,2009,https://www.goodreads.com/author/show/5278447.T_S_Arthur,T.S. Arthur,['Audiobook'],17,4,3.29
28191500-rudyard-kipling-s-the-jungle-book,28191500,Rudyard Kipling’s The Jungle Book: The Mowgli Stories,2015,https://www.goodreads.com/author/show/6757869.Richard_Kurti,Richard Kurti,"['Classics', 'Audiobook', 'Fiction', 'Fantasy', 'Childrens', 'Animals', 'Short Stories', '...more']",537,94,4.11
3030579-the-dove-in-the-eagle-s-nest,3030579,The Dove in the Eagle's Nest,1866,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,"['Historical Fiction', 'Classics', 'Fiction']",49,12,3.73
182385.Gothic_Tales,182385,Gothic Tales,2000,https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell,Elizabeth Gaskell,"['Classics', 'Gothic', 'Horror', 'Short Stories', 'Fiction', 'Victorian', '19th Century', '...more']","2,618",216,3.8
149785.The_Way_We_Live_Now,149785,The Way We Live Now,1875,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', '19th Century', 'Victorian', 'Literature', 'British Literature', 'Novels', '...more']","12,532","1,076",4.07
220105.Aur_lia,220105,Aurélia,1855,https://www.goodreads.com/author/show/128771.G_rard_de_Nerval,Gérard de Nerval,"['Classics', 'France', 'Fiction', 'Poetry', 'French Literature', '19th Century', 'Literature', '...more']",760,62,3.72
