,Unnamed: 0,gutenberg_id,title,book_id
0,0,599,Vanity Fair,5797
1,1,4276,North and South,156538
2,2,3139,The Dove in the Eagle's Nest,3030579
3,3,5231,The Way We Live Now,149785
4,4,7381,The Eustace Diamonds,73954
5,5,271,Black Beauty,3685
7,7,1028,The Professor,31175
8,8,482,The Woodlanders,341281
9,9,135,Les Misérables,24280
10,10,1969,Catherine: A Story,6328870
11,11,3326,The Well-Beloved: A Sketch of a Temperament,699468
12,12,122,The Return of the Native,32650
13,13,2600,War and Peace,656
14,14,2413,Madame Bovary,2175
15,15,11,Alice's Adventures in Wonderland,60671823
16,16,41659,The Swiss Family Robinson: A Translation from the Original German,62111
17,17,42044,"Salem Chapel, v. 2/2",882167
18,18,3285,The Deerslayer,246245
19,19,708,The Princess and the Goblin,444381
20,20,107,Far from the Madding Crowd,31463
21,21,6440,Elsie Dinsmore,611861
22,22,203,Uncle Tom's Cabin,46787
23,23,913,A Hero of Our Time,226378
24,24,308,Three Men in a Boat (To Say Nothing of the Dog),4921
26,26,2276,The Private Memoirs and Confessions of a Justified Sinner,87580
27,27,8954,Lady Audley's Secret,588747
28,28,141,Mansfield Park,45032
29,29,1184,"The Count of Monte Cristo, Illustrated",7126
30,30,8387,Hunger,32585
31,31,1938,Resurrection,42641
32,32,4275,Ruth,338807
33,33,209,The Turn of the Screw,12948
34,34,10148,The Merry Adventures of Robin Hood,93007
35,35,12347,The Morgesons: A Novel,729704
36,36,47935,Fathers and Sons,19117
37,37,394,Cranford,182381
38,38,4599,The Small House at Allington,144463
39,39,2505,The Heir of Redclyffe,1383791
40,40,821,Dombey and Son,50827
41,41,28006,The Perpetual Curate,882166
42,42,15709,The Christmas Angel,2608171
43,43,3409,Barchester Towers,125321
44,44,968,Martin Chuzzlewit,1990
45,45,2876,The Light That Failed,419285
46,46,1438,No Name,45205
47,47,154,The Rise of Silas Lapham,381362
48,48,4517,Ethan Frome,5246
49,49,9963,"Elsie's Girlhood: A Sequel to ""Elsie Dinsmore"" and ""Elsie's Holidays at Roselands""",1054770
50,50,21037,The Cock-House at Fellsgarth,10086485
51,51,1640,Lilith: A Romance,268187
52,52,7118,What Maisie Knew,392452
53,53,730,Oliver Twist,18254
54,54,7469,Daniel Deronda,304
55,55,25053,"The Temptation of St. Antony; Or, A Revelation of the Soul",355034
56,56,2145,Ben-Hur: A tale of the Christ,387749
57,57,35155,The Betrothed: From the Italian of Alessandro Manzoni,566328
58,58,233,Sister Carrie: A Novel,126609
59,59,2084,The Way of All Flesh,126512
60,60,6902,On the eve: A novel,616052
61,61,8600,L'Assommoir,92967
62,62,1473,The Absentee,608762
63,63,2153,Mary Barton,54620
64,64,963,Little Dorrit,31250
65,65,2726,Eight Cousins,14570
66,66,7025,Rob Roy — Complete,543686
67,67,54726,The Ladies' Paradise,28413
68,68,10777,Probable Sons,7731241
70,70,27067,The Fixed Period,1287250
71,71,219,Heart of Darkness,4900
72,72,1623,The New Magdalen,1610015
73,73,23000,Orley Farm,242589
74,74,21043,Reginald Cruden: A Tale of City Life,10108873
75,75,145,Middlemarch,19089
77,77,2166,King Solomon's Mines,23814
78,78,2662,"Under the Greenwood Tree; Or, The Mellstock Quire: A Rural Painting of the Dutch School",825901
79,79,2516,Redgauntlet: A Tale of the Eighteenth Century,2360690
80,80,2637,Youth,705296
81,81,4053,Nuttie's Father,21073816
82,82,1622,The Law and the Lady,194649
83,83,23126,"Eric, or Little by Little",2812020
84,84,1921,The Chouans,267867
85,85,619,The Warden,267123
86,86,7378,Chantry House,21119408
87,87,2870,Washington Square,133954
88,88,321,Moran of the Lady Letty,8045384
89,89,13159,Lost Illusions,25932
90,90,864,The Master of Ballantrae: A Winter's Tale,223175
91,91,325,Phantastes: A Faerie Romance for Men and Women,174948
